subject,name
"Planos de contingência e evacuação","Secretaria Municipal de Obras e Agricultura"
"Poluição por indústrias","Secretaria Municipal de Obras e Agricultura"
"Desobstrução de redes de esgoto.","Secretaria Municipal de Obras e Agricultura"
"lixo com muito ao lado do campo, a prefeitura limpa , a população não","Secretaria Municipal de Obras e Agricultura"
,"Secretaria Municipal de Obras e Agricultura"
Assédio,"Secretaria Municipal de Proteção Animal"
"Maus tratos aos animais","Secretaria Municipal de Proteção Animal"
"Animais abandonados em vias públicas","Secretaria Municipal de Proteção Animal"
"Não há dados","Secretaria Municipal de Proteção Animal"
Atendimento,"Secretaria Municipal de Saúde"
"Estrutura, limpeza e materiais da unidade","Secretaria Municipal de Saúde"
"Equipe de enfermagem","Secretaria Municipal de Saúde"
"Marcação de Exame","Secretaria Municipal de Saúde"
"Tempo de espera para exames","Secretaria Municipal de Saúde"
"Atendimento de urgência e emergência","Secretaria Municipal de Saúde"
"Marcação de consulta","Secretaria Municipal de Saúde"
"Falta de comunicação","Secretaria Municipal de Saúde"
"Equipe administrativa","Secretaria Municipal de Saúde"
Funcionário,"Secretaria Municipal de Saúde"
"Demora, grosseria ou falta de atendimento","Secretaria Municipal de Saúde"
"Equipe médica","Secretaria Municipal de Saúde"
"Equipe multidisciplinar (psicologo, terapeuta, fisioterapeuta, etc.)","Secretaria Municipal de Saúde"
"Atendimento prioritário não respeitado em repartições e serviços","Secretaria Municipal de Saúde"
,"Secretaria Municipal de Saúde"
"Tempo de espera para cirurgia","Secretaria Municipal de Saúde"
"Falta de medicamentos e insumos (remédios e fraldas)","Secretaria Municipal de Saúde"
"Demora no resultado de exames","Secretaria Municipal de Saúde"
"Atendimento odontológico","Secretaria Municipal de Saúde"
"Direitos e programas sociais","Secretaria Municipal de Saúde"
"Aparelho auditivo","Secretaria Municipal de Saúde"
"Internação e transferência hospitalar","Secretaria Municipal de Saúde"
"Conduta irregular de funcionário","Secretaria Municipal de Saúde"
"Tempo de espera para atendimento","Secretaria Municipal de Saúde"
"Atendimento domiciliar (home care)","Secretaria Municipal de Saúde"
"Tempo de espera em fila SISREG","Secretaria Municipal de Saúde"
"Acessibilidade em unidades de saúde","Secretaria Municipal de Saúde"
"Marcação de cirurgia","Secretaria Municipal de Saúde"
Outros,"Secretaria Municipal de Saúde"
"Demora na entrega das lentes","Secretaria Municipal de Saúde"
"Não há dados","Secretaria Municipal de Saúde"
"Condição insalubre","Secretaria Municipal de Saúde"
"Informação e Orientação pública","Secretaria Municipal de Saúde"
"Falta de profissionais","Secretaria Municipal de Saúde"
"Falta de pagamento","Secretaria Municipal de Saúde"
